AreaName,Year,GroupName,SubGroupName,AutoTheftCoordinatedTraced,AutoTheftRecovered,AutoTheftStolen,SuccessRate
Chandigarh,2006,AT6-Total,6. Total (Sum of 1-5 Above),0,175,529,0.330812854
Chhattisgarh,2006,AT6-Total,6. Total (Sum of 1-5 Above),89,734,2143,0.342510499
Dadra & Nagar Haveli,2006,AT6-Total,6. Total (Sum of 1-5 Above),0,8,15,0.533333333
Daman & Diu,2006,AT6-Total,6. Total (Sum of 1-5 Above),0,7,33,0.212121212
Delhi,2006,AT6-Total,6. Total (Sum of 1-5 Above),212,2060,9402,0.219102319
Goa,2006,AT6-Total,6. Total (Sum of 1-5 Above),10,70,228,0.307017544
Gujarat,2006,AT6-Total,6. Total (Sum of 1-5 Above),492,1647,7191,0.229036295
Haryana,2006,AT6-Total,6. Total (Sum of 1-5 Above),4,2258,6588,0.342744384
Himachal Pradesh,2006,AT6-Total,6. Total (Sum of 1-5 Above),87,108,216,0.5
Jammu & Kashmir,2006,AT6-Total,6. Total (Sum of 1-5 Above),16,179,559,0.320214669
Jharkhand,2006,AT6-Total,6. Total (Sum of 1-5 Above),5,262,1229,0.213181448
Karnataka,2006,AT6-Total,6. Total (Sum of 1-5 Above),96,1403,6006,0.233599734
Kerala,2006,AT6-Total,6. Total (Sum of 1-5 Above),21,545,2019,0.269935612
Lakshadweep,2006,AT6-Total,6. Total (Sum of 1-5 Above),0,1,2,0.5
Madhya Pradesh,2006,AT6-Total,6. Total (Sum of 1-5 Above),171,2177,7651,0.284537969
Maharashtra,2006,AT6-Total,6. Total (Sum of 1-5 Above),1219,3757,12814,0.293194943
Manipur,2006,AT6-Total,6. Total (Sum of 1-5 Above),0,8,119,0.067226891
Meghalaya,2006,AT6-Total,6. Total (Sum of 1-5 Above),0,20,135,0.148148148
Mizoram,2006,AT6-Total,6. Total (Sum of 1-5 Above),0,49,68,0.720588235
Nagaland,2006,AT6-Total,6. Total (Sum of 1-5 Above),18,75,155,0.483870968
Odisha,2006,AT6-Total,6. Total (Sum of 1-5 Above),189,556,1571,0.353914704
Puducherry,2006,AT6-Total,6. Total (Sum of 1-5 Above),0,122,320,0.38125
Punjab,2006,AT6-Total,6. Total (Sum of 1-5 Above),506,591,1545,0.382524272
Rajasthan,2006,AT6-Total,6. Total (Sum of 1-5 Above),370,1360,6977,0.194926186
Sikkim,2006,AT6-Total,6. Total (Sum of 1-5 Above),0,8,8,1
Tamil Nadu,2006,AT6-Total,6. Total (Sum of 1-5 Above),2356,2605,3009,0.865736125
Tripura,2006,AT6-Total,6. Total (Sum of 1-5 Above),0,7,28,0.25
Uttar Pradesh,2006,AT6-Total,6. Total (Sum of 1-5 Above),35,2129,8349,0.255000599
Uttarakhand,2006,AT6-Total,6. Total (Sum of 1-5 Above),0,131,499,0.26252505
West Bengal,2006,AT6-Total,6. Total (Sum of 1-5 Above),36,428,2714,0.157700811
Andaman & Nicobar Islands,2007,AT6-Total,6. Total (Sum of 1-5 Above),0,7,8,0.875
Andhra Pradesh,2007,AT6-Total,6. Total (Sum of 1-5 Above),92,2847,6309,0.451260105
Arunachal Pradesh,2007,AT6-Total,6. Total (Sum of 1-5 Above),10,63,116,0.543103448
Assam,2007,AT6-Total,6. Total (Sum of 1-5 Above),42,597,1801,0.33148251
Bihar,2007,AT6-Total,6. Total (Sum of 1-5 Above),0,323,2393,0.134977016
Chandigarh,2007,AT6-Total,6. Total (Sum of 1-5 Above),0,222,853,0.260257913
Chhattisgarh,2007,AT6-Total,6. Total (Sum of 1-5 Above),5,716,1933,0.370408691
Dadra & Nagar Haveli,2007,AT6-Total,6. Total (Sum of 1-5 Above),0,4,19,0.210526316
Daman & Diu,2007,AT6-Total,6. Total (Sum of 1-5 Above),0,7,28,0.25
Delhi,2007,AT6-Total,6. Total (Sum of 1-5 Above),87,1782,8874,0.200811359
Goa,2007,AT6-Total,6. Total (Sum of 1-5 Above),5,65,220,0.295454545
Gujarat,2007,AT6-Total,6. Total (Sum of 1-5 Above),599,1891,8019,0.23581494
Haryana,2007,AT6-Total,6. Total (Sum of 1-5 Above),172,2224,6736,0.330166271
Himachal Pradesh,2007,AT6-Total,6. Total (Sum of 1-5 Above),20,104,265,0.39245283
Jammu & Kashmir,2007,AT6-Total,6. Total (Sum of 1-5 Above),2,165,514,0.321011673
Jharkhand,2007,AT6-Total,6. Total (Sum of 1-5 Above),3,269,1738,0.154775604
Karnataka,2007,AT6-Total,6. Total (Sum of 1-5 Above),130,1958,6073,0.32241067
Kerala,2007,AT6-Total,6. Total (Sum of 1-5 Above),20,643,2110,0.304739336
Lakshadweep,2007,AT6-Total,6. Total (Sum of 1-5 Above),0,2,2,1
Madhya Pradesh,2007,AT6-Total,6. Total (Sum of 1-5 Above),458,2297,8822,0.260371798
Maharashtra,2007,AT6-Total,6. Total (Sum of 1-5 Above),1302,3595,13910,0.25844716
Manipur,2007,AT6-Total,6. Total (Sum of 1-5 Above),0,9,157,0.057324841
Meghalaya,2007,AT6-Total,6. Total (Sum of 1-5 Above),0,9,93,0.096774194
Mizoram,2007,AT6-Total,6. Total (Sum of 1-5 Above),0,41,70,0.585714286
Nagaland,2007,AT6-Total,6. Total (Sum of 1-5 Above),18,35,233,0.150214592
Odisha,2007,AT6-Total,6. Total (Sum of 1-5 Above),37,458,1733,0.264281593
Puducherry,2007,AT6-Total,6. Total (Sum of 1-5 Above),0,186,498,0.373493976
Punjab,2007,AT6-Total,6. Total (Sum of 1-5 Above),687,723,2062,0.350630456
Rajasthan,2007,AT6-Total,6. Total (Sum of 1-5 Above),143,1593,7933,0.200806757
Sikkim,2007,AT6-Total,6. Total (Sum of 1-5 Above),3,10,11,0.909090909
Tamil Nadu,2007,AT6-Total,6. Total (Sum of 1-5 Above),2083,2504,2888,0.867036011
Tripura,2007,AT6-Total,6. Total (Sum of 1-5 Above),0,15,55,0.272727273
Uttar Pradesh,2007,AT6-Total,6. Total (Sum of 1-5 Above),66,2178,9485,0.229625725
Uttarakhand,2007,AT6-Total,6. Total (Sum of 1-5 Above),138,138,545,0.253211009
West Bengal,2007,AT6-Total,6. Total (Sum of 1-5 Above),59,446,2424,0.183993399
Andaman & Nicobar Islands,2008,AT6-Total,6. Total (Sum of 1-5 Above),0,7,11,0.636363636
Andhra Pradesh,2008,AT6-Total,6. Total (Sum of 1-5 Above),0,3811,7848,0.485601427
Arunachal Pradesh,2008,AT6-Total,6. Total (Sum of 1-5 Above),7,37,60,0.616666667
Assam,2008,AT6-Total,6. Total (Sum of 1-5 Above),67,298,1878,0.158679446
Bihar,2008,AT6-Total,6. Total (Sum of 1-5 Above),0,391,2675,0.146168224
Chandigarh,2008,AT6-Total,6. Total (Sum of 1-5 Above),0,244,1094,0.223034735
Chhattisgarh,2008,AT6-Total,6. Total (Sum of 1-5 Above),0,605,2118,0.285646837
Dadra & Nagar Haveli,2008,AT6-Total,6. Total (Sum of 1-5 Above),0,4,19,0.210526316
Daman & Diu,2008,AT6-Total,6. Total (Sum of 1-5 Above),0,14,33,0.424242424
Delhi,2008,AT6-Total,6. Total (Sum of 1-5 Above),173,1340,11027,0.121519906
Goa,2008,AT6-Total,6. Total (Sum of 1-5 Above),5,77,253,0.304347826
Gujarat,2008,AT6-Total,6. Total (Sum of 1-5 Above),733,2228,9943,0.22407724
Haryana,2008,AT6-Total,6. Total (Sum of 1-5 Above),399,2301,7893,0.291524135
Himachal Pradesh,2008,AT6-Total,6. Total (Sum of 1-5 Above),45,105,329,0.319148936
Jammu & Kashmir,2008,AT6-Total,6. Total (Sum of 1-5 Above),4,143,672,0.212797619
Jharkhand,2008,AT6-Total,6. Total (Sum of 1-5 Above),0,334,2471,0.135167948
Karnataka,2008,AT6-Total,6. Total (Sum of 1-5 Above),357,2156,9202,0.234296892
Kerala,2008,AT6-Total,6. Total (Sum of 1-5 Above),61,609,2001,0.304347826
Lakshadweep,2008,AT6-Total,6. Total (Sum of 1-5 Above),1,1,1,1
Madhya Pradesh,2008,AT6-Total,6. Total (Sum of 1-5 Above),0,2327,11029,0.21098921
Maharashtra,2008,AT6-Total,6. Total (Sum of 1-5 Above),875,3334,16909,0.197173103
Manipur,2008,AT6-Total,6. Total (Sum of 1-5 Above),12,9,297,0.03030303
Meghalaya,2008,AT6-Total,6. Total (Sum of 1-5 Above),0,27,132,0.204545455
Mizoram,2008,AT6-Total,6. Total (Sum of 1-5 Above),0,34,43,0.790697674
Nagaland,2008,AT6-Total,6. Total (Sum of 1-5 Above),0,17,251,0.067729084
Odisha,2008,AT6-Total,6. Total (Sum of 1-5 Above),0,649,1975,0.328607595
Puducherry,2008,AT6-Total,6. Total (Sum of 1-5 Above),0,156,443,0.35214447
Punjab,2008,AT6-Total,6. Total (Sum of 1-5 Above),592,752,2160,0.348148148
Rajasthan,2008,AT6-Total,6. Total (Sum of 1-5 Above),326,1618,9496,0.170387532
Sikkim,2008,AT6-Total,6. Total (Sum of 1-5 Above),1,9,9,1
Tamil Nadu,2008,AT6-Total,6. Total (Sum of 1-5 Above),2236,2911,3747,0.776888177
Tripura,2008,AT6-Total,6. Total (Sum of 1-5 Above),0,25,65,0.384615385
Uttar Pradesh,2008,AT6-Total,6. Total (Sum of 1-5 Above),309,2191,10371,0.211262173
Uttarakhand,2008,AT6-Total,6. Total (Sum of 1-5 Above),0,156,645,0.241860465
West Bengal,2008,AT6-Total,6. Total (Sum of 1-5 Above),0,464,2567,0.180755746
Andaman & Nicobar Islands,2009,AT6-Total,6. Total (Sum of 1-5 Above),0,9,10,0.9
Andhra Pradesh,2009,AT6-Total,6. Total (Sum of 1-5 Above),713,4277,8257,0.51798474
Arunachal Pradesh,2009,AT6-Total,6. Total (Sum of 1-5 Above),9,34,109,0.311926606
Assam,2009,AT6-Total,6. Total (Sum of 1-5 Above),55,327,1709,0.191339965
Bihar,2009,AT6-Total,6. Total (Sum of 1-5 Above),145,414,3674,0.112683723
Chandigarh,2009,AT6-Total,6. Total (Sum of 1-5 Above),0,275,1117,0.246195166
Chhattisgarh,2009,AT6-Total,6. Total (Sum of 1-5 Above),0,689,2188,0.314899452
Dadra & Nagar Haveli,2009,AT6-Total,6. Total (Sum of 1-5 Above),0,5,23,0.217391304
Daman & Diu,2009,AT6-Total,6. Total (Sum of 1-5 Above),0,5,31,0.161290323
Delhi,2009,AT6-Total,6. Total (Sum of 1-5 Above),738,1886,13251,0.142328881
Goa,2009,AT6-Total,6. Total (Sum of 1-5 Above),8,84,346,0.242774566
Gujarat,2009,AT6-Total,6. Total (Sum of 1-5 Above),1004,2753,11145,0.247016599
Haryana,2009,AT6-Total,6. Total (Sum of 1-5 Above),405,2425,8370,0.289725209
Himachal Pradesh,2009,AT6-Total,6. Total (Sum of 1-5 Above),19,130,331,0.392749245
Jammu & Kashmir,2009,AT6-Total,6. Total (Sum of 1-5 Above),3,237,881,0.269012486
Jharkhand,2009,AT6-Total,6. Total (Sum of 1-5 Above),0,557,2496,0.223157051
Karnataka,2009,AT6-Total,6. Total (Sum of 1-5 Above),351,2646,11020,0.240108893
Kerala,2009,AT6-Total,6. Total (Sum of 1-5 Above),30,742,2028,0.365877712
Lakshadweep,2009,AT6-Total,6. Total (Sum of 1-5 Above),0,5,5,1
Madhya Pradesh,2009,AT6-Total,6. Total (Sum of 1-5 Above),0,2453,10955,0.22391602
Maharashtra,2009,AT6-Total,6. Total (Sum of 1-5 Above),1473,4615,18236,0.253070849
Manipur,2009,AT6-Total,6. Total (Sum of 1-5 Above),7,7,320,0.021875
Meghalaya,2009,AT6-Total,6. Total (Sum of 1-5 Above),4,27,180,0.15
Mizoram,2009,AT6-Total,6. Total (Sum of 1-5 Above),59,59,77,0.766233766
Nagaland,2009,AT6-Total,6. Total (Sum of 1-5 Above),0,36,216,0.166666667
Odisha,2009,AT6-Total,6. Total (Sum of 1-5 Above),121,676,2521,0.26814756
Puducherry,2009,AT6-Total,6. Total (Sum of 1-5 Above),78,250,502,0.498007968
Punjab,2009,AT6-Total,6. Total (Sum of 1-5 Above),263,1101,2842,0.387403237
Rajasthan,2009,AT6-Total,6. Total (Sum of 1-5 Above),534,1942,11783,0.164813715
Sikkim,2009,AT6-Total,6. Total (Sum of 1-5 Above),0,5,10,0.5
Tamil Nadu,2009,AT6-Total,6. Total (Sum of 1-5 Above),2985,3826,5198,0.736052328
Tripura,2009,AT6-Total,6. Total (Sum of 1-5 Above),0,29,71,0.408450704
Uttar Pradesh,2009,AT6-Total,6. Total (Sum of 1-5 Above),289,2189,14378,0.152246488
Uttarakhand,2009,AT6-Total,6. Total (Sum of 1-5 Above),0,229,702,0.326210826
West Bengal,2009,AT6-Total,6. Total (Sum of 1-5 Above),356,601,3618,0.166113875
Andaman & Nicobar Islands,2010,AT6-Total,6. Total (Sum of 1-5 Above),0,12,22,0.545454545
Andhra Pradesh,2010,AT6-Total,6. Total (Sum of 1-5 Above),892,5453,7422,0.734707626
Arunachal Pradesh,2010,AT6-Total,6. Total (Sum of 1-5 Above),3,46,139,0.330935252
Assam,2010,AT6-Total,6. Total (Sum of 1-5 Above),41,166,600,0.276666667
Bihar,2010,AT6-Total,6. Total (Sum of 1-5 Above),5,400,4271,0.093654882
Chandigarh,2010,AT6-Total,6. Total (Sum of 1-5 Above),0,256,898,0.285077951
Chhattisgarh,2010,AT6-Total,6. Total (Sum of 1-5 Above),0,603,2139,0.281907433
Dadra & Nagar Haveli,2010,AT6-Total,6. Total (Sum of 1-5 Above),0,10,34,0.294117647
Daman & Diu,2010,AT6-Total,6. Total (Sum of 1-5 Above),0,11,28,0.392857143
Delhi,2010,AT6-Total,6. Total (Sum of 1-5 Above),85,1924,15031,0.128002129
Goa,2010,AT6-Total,6. Total (Sum of 1-5 Above),10,142,372,0.38172043
Gujarat,2010,AT6-Total,6. Total (Sum of 1-5 Above),815,2443,9829,0.248550209
Haryana,2010,AT6-Total,6. Total (Sum of 1-5 Above),653,3054,11398,0.267941744
Himachal Pradesh,2010,AT6-Total,6. Total (Sum of 1-5 Above),0,126,334,0.377245509
Jammu & Kashmir,2010,AT6-Total,6. Total (Sum of 1-5 Above),14,240,968,0.247933884
Jharkhand,2010,AT6-Total,6. Total (Sum of 1-5 Above),30,440,2684,0.163934426
Karnataka,2010,AT6-Total,6. Total (Sum of 1-5 Above),317,3374,10639,0.317135069
Kerala,2010,AT6-Total,6. Total (Sum of 1-5 Above),4,626,1478,0.423545332
Madhya Pradesh,2010,AT6-Total,6. Total (Sum of 1-5 Above),259,2777,12060,0.23026534
Maharashtra,2010,AT6-Total,6. Total (Sum of 1-5 Above),1266,4641,18605,0.249449073
Manipur,2010,AT6-Total,6. Total (Sum of 1-5 Above),18,18,286,0.062937063
Meghalaya,2010,AT6-Total,6. Total (Sum of 1-5 Above),0,42,152,0.276315789
Mizoram,2010,AT6-Total,6. Total (Sum of 1-5 Above),52,52,69,0.753623188
Nagaland,2010,AT6-Total,6. Total (Sum of 1-5 Above),2,34,277,0.122743682
Odisha,2010,AT6-Total,6. Total (Sum of 1-5 Above),4,809,2627,0.307955843
Puducherry,2010,AT6-Total,6. Total (Sum of 1-5 Above),161,161,384,0.419270833
Punjab,2010,AT6-Total,6. Total (Sum of 1-5 Above),529,1270,2713,0.468116476
Rajasthan,2010,AT6-Total,6. Total (Sum of 1-5 Above),1037,2179,13109,0.16622168
Sikkim,2010,AT6-Total,6. Total (Sum of 1-5 Above),0,6,8,0.75
Tamil Nadu,2010,AT6-Total,6. Total (Sum of 1-5 Above),2563,3541,5205,0.680307397
Tripura,2010,AT6-Total,6. Total (Sum of 1-5 Above),0,26,50,0.52
Uttar Pradesh,2010,AT6-Total,6. Total (Sum of 1-5 Above),505,2434,16705,0.145704879
Uttarakhand,2010,AT6-Total,6. Total (Sum of 1-5 Above),0,244,853,0.286049238
West Bengal,2010,AT6-Total,6. Total (Sum of 1-5 Above),47,641,4305,0.148896632
