AreaName,Year,GroupName,SubGroupName,AutoTheftCoordinatedTraced,AutoTheftRecovered,AutoTheftStolen,SuccessRate
Assam,2009,AT5-Other Motor vehicles,5. Other Motor vehicles,3,2,106,0.018867925
Bihar,2009,AT5-Other Motor vehicles,5. Other Motor vehicles,12,24,173,0.138728324
Chandigarh,2009,AT5-Other Motor vehicles,5. Other Motor vehicles,0,1,1,1
Chhattisgarh,2009,AT5-Other Motor vehicles,5. Other Motor vehicles,0,31,70,0.442857143
Dadra & Nagar Haveli,2009,AT5-Other Motor vehicles,5. Other Motor vehicles,0,1,3,0.333333333
Delhi,2009,AT5-Other Motor vehicles,5. Other Motor vehicles,3,118,465,0.253763441
Goa,2009,AT5-Other Motor vehicles,5. Other Motor vehicles,0,1,1,1
Gujarat,2009,AT5-Other Motor vehicles,5. Other Motor vehicles,23,128,457,0.280087527
Haryana,2009,AT5-Other Motor vehicles,5. Other Motor vehicles,36,152,431,0.352668213
Himachal Pradesh,2009,AT5-Other Motor vehicles,5. Other Motor vehicles,2,6,15,0.4
Jammu & Kashmir,2009,AT5-Other Motor vehicles,5. Other Motor vehicles,0,22,45,0.488888889
Jharkhand,2009,AT5-Other Motor vehicles,5. Other Motor vehicles,0,1,1,1
Karnataka,2009,AT5-Other Motor vehicles,5. Other Motor vehicles,59,87,217,0.400921659
Kerala,2009,AT5-Other Motor vehicles,5. Other Motor vehicles,2,51,136,0.375
Madhya Pradesh,2009,AT5-Other Motor vehicles,5. Other Motor vehicles,0,192,454,0.422907489
Maharashtra,2009,AT5-Other Motor vehicles,5. Other Motor vehicles,94,179,250,0.716
Manipur,2009,AT5-Other Motor vehicles,5. Other Motor vehicles,1,1,16,0.0625
Meghalaya,2009,AT5-Other Motor vehicles,5. Other Motor vehicles,1,5,15,0.333333333
Mizoram,2009,AT5-Other Motor vehicles,5. Other Motor vehicles,27,27,36,0.75
Nagaland,2009,AT5-Other Motor vehicles,5. Other Motor vehicles,0,4,17,0.235294118
Odisha,2009,AT5-Other Motor vehicles,5. Other Motor vehicles,1,20,61,0.327868852
Puducherry,2009,AT5-Other Motor vehicles,5. Other Motor vehicles,1,2,3,0.666666667
Punjab,2009,AT5-Other Motor vehicles,5. Other Motor vehicles,6,39,97,0.402061856
Rajasthan,2009,AT5-Other Motor vehicles,5. Other Motor vehicles,2,50,153,0.326797386
Tamil Nadu,2009,AT5-Other Motor vehicles,5. Other Motor vehicles,57,62,80,0.775
Tripura,2009,AT5-Other Motor vehicles,5. Other Motor vehicles,0,1,1,1
Uttar Pradesh,2009,AT5-Other Motor vehicles,5. Other Motor vehicles,25,93,291,0.319587629
Uttarakhand,2009,AT5-Other Motor vehicles,5. Other Motor vehicles,0,3,11,0.272727273
West Bengal,2009,AT5-Other Motor vehicles,5. Other Motor vehicles,25,31,144,0.215277778
Andaman & Nicobar Islands,2010,AT5-Other Motor vehicles,5. Other Motor vehicles,0,1,1,1
Andhra Pradesh,2010,AT5-Other Motor vehicles,5. Other Motor vehicles,34,562,624,0.900641026
Arunachal Pradesh,2010,AT5-Other Motor vehicles,5. Other Motor vehicles,0,1,1,1
Assam,2010,AT5-Other Motor vehicles,5. Other Motor vehicles,5,3,26,0.115384615
Bihar,2010,AT5-Other Motor vehicles,5. Other Motor vehicles,0,20,309,0.064724919
Chandigarh,2010,AT5-Other Motor vehicles,5. Other Motor vehicles,0,1,1,1
Chhattisgarh,2010,AT5-Other Motor vehicles,5. Other Motor vehicles,0,43,139,0.309352518
Delhi,2010,AT5-Other Motor vehicles,5. Other Motor vehicles,2,64,458,0.139737991
Goa,2010,AT5-Other Motor vehicles,5. Other Motor vehicles,0,1,1,1
Gujarat,2010,AT5-Other Motor vehicles,5. Other Motor vehicles,11,123,461,0.26681128
Haryana,2010,AT5-Other Motor vehicles,5. Other Motor vehicles,45,160,435,0.367816092
Himachal Pradesh,2010,AT5-Other Motor vehicles,5. Other Motor vehicles,0,17,36,0.472222222
Jammu & Kashmir,2010,AT5-Other Motor vehicles,5. Other Motor vehicles,4,27,74,0.364864865
Jharkhand,2010,AT5-Other Motor vehicles,5. Other Motor vehicles,0,13,48,0.270833333
Karnataka,2010,AT5-Other Motor vehicles,5. Other Motor vehicles,6,177,503,0.351888668
Kerala,2010,AT5-Other Motor vehicles,5. Other Motor vehicles,0,52,94,0.553191489
Madhya Pradesh,2010,AT5-Other Motor vehicles,5. Other Motor vehicles,17,139,410,0.33902439
Maharashtra,2010,AT5-Other Motor vehicles,5. Other Motor vehicles,51,113,261,0.432950192
Manipur,2010,AT5-Other Motor vehicles,5. Other Motor vehicles,2,2,3,0.666666667
Meghalaya,2010,AT5-Other Motor vehicles,5. Other Motor vehicles,0,1,8,0.125
Mizoram,2010,AT5-Other Motor vehicles,5. Other Motor vehicles,9,9,13,0.692307692
Nagaland,2010,AT5-Other Motor vehicles,5. Other Motor vehicles,0,6,51,0.117647059
Odisha,2010,AT5-Other Motor vehicles,5. Other Motor vehicles,0,45,148,0.304054054
Puducherry,2010,AT5-Other Motor vehicles,5. Other Motor vehicles,1,1,1,1
Punjab,2010,AT5-Other Motor vehicles,5. Other Motor vehicles,26,88,87,1.011494253
Rajasthan,2010,AT5-Other Motor vehicles,5. Other Motor vehicles,37,128,169,0.75739645
Tamil Nadu,2010,AT5-Other Motor vehicles,5. Other Motor vehicles,54,92,114,0.807017544
Tripura,2010,AT5-Other Motor vehicles,5. Other Motor vehicles,0,2,3,0.666666667
Uttar Pradesh,2010,AT5-Other Motor vehicles,5. Other Motor vehicles,29,84,320,0.2625
Uttarakhand,2010,AT5-Other Motor vehicles,5. Other Motor vehicles,0,4,12,0.333333333
West Bengal,2010,AT5-Other Motor vehicles,5. Other Motor vehicles,1,48,308,0.155844156
Andaman & Nicobar Islands,2001,AT6-Total,6. Total (Sum of 1-5 Above),0,4,4,1
Andhra Pradesh,2001,AT6-Total,6. Total (Sum of 1-5 Above),179,1480,3115,0.475120385
Arunachal Pradesh,2001,AT6-Total,6. Total (Sum of 1-5 Above),0,27,36,0.75
Assam,2001,AT6-Total,6. Total (Sum of 1-5 Above),0,149,438,0.340182648
Bihar,2001,AT6-Total,6. Total (Sum of 1-5 Above),51,250,1136,0.220070423
Chandigarh,2001,AT6-Total,6. Total (Sum of 1-5 Above),0,200,494,0.4048583
Chhattisgarh,2001,AT6-Total,6. Total (Sum of 1-5 Above),26,415,942,0.440552017
Dadra & Nagar Haveli,2001,AT6-Total,6. Total (Sum of 1-5 Above),0,5,15,0.333333333
Delhi,2001,AT6-Total,6. Total (Sum of 1-5 Above),192,2050,7981,0.256860043
Goa,2001,AT6-Total,6. Total (Sum of 1-5 Above),11,86,178,0.483146067
Gujarat,2001,AT6-Total,6. Total (Sum of 1-5 Above),473,1590,5537,0.287159111
Haryana,2001,AT6-Total,6. Total (Sum of 1-5 Above),79,1510,3120,0.483974359
Himachal Pradesh,2001,AT6-Total,6. Total (Sum of 1-5 Above),12,98,145,0.675862069
Jammu & Kashmir,2001,AT6-Total,6. Total (Sum of 1-5 Above),1,137,633,0.2164297
Jharkhand,2001,AT6-Total,6. Total (Sum of 1-5 Above),15,48,239,0.20083682
Karnataka,2001,AT6-Total,6. Total (Sum of 1-5 Above),251,1248,3863,0.323064975
Kerala,2001,AT6-Total,6. Total (Sum of 1-5 Above),70,513,1795,0.285793872
Madhya Pradesh,2001,AT6-Total,6. Total (Sum of 1-5 Above),0,1267,4323,0.293083507
Maharashtra,2001,AT6-Total,6. Total (Sum of 1-5 Above),1200,2942,8887,0.331045347
Manipur,2001,AT6-Total,6. Total (Sum of 1-5 Above),0,7,71,0.098591549
Meghalaya,2001,AT6-Total,6. Total (Sum of 1-5 Above),0,17,57,0.298245614
Mizoram,2001,AT6-Total,6. Total (Sum of 1-5 Above),4,18,20,0.9
Nagaland,2001,AT6-Total,6. Total (Sum of 1-5 Above),0,30,119,0.25210084
Odisha,2001,AT6-Total,6. Total (Sum of 1-5 Above),22,344,1011,0.340257171
Puducherry,2001,AT6-Total,6. Total (Sum of 1-5 Above),137,137,284,0.482394366
Punjab,2001,AT6-Total,6. Total (Sum of 1-5 Above),243,491,1270,0.386614173
Rajasthan,2001,AT6-Total,6. Total (Sum of 1-5 Above),78,903,4039,0.223570191
Sikkim,2001,AT6-Total,6. Total (Sum of 1-5 Above),2,4,6,0.666666667
Tamil Nadu,2001,AT6-Total,6. Total (Sum of 1-5 Above),0,2758,4260,0.64741784
Tripura,2001,AT6-Total,6. Total (Sum of 1-5 Above),0,3,10,0.3
Uttar Pradesh,2001,AT6-Total,6. Total (Sum of 1-5 Above),35,1177,5790,0.20328152
Uttarakhand,2001,AT6-Total,6. Total (Sum of 1-5 Above),0,95,374,0.254010695
West Bengal,2001,AT6-Total,6. Total (Sum of 1-5 Above),16,791,2579,0.306708026
Andaman & Nicobar Islands,2002,AT6-Total,6. Total (Sum of 1-5 Above),1,1,2,0.5
Andhra Pradesh,2002,AT6-Total,6. Total (Sum of 1-5 Above),13,1701,3450,0.493043478
Arunachal Pradesh,2002,AT6-Total,6. Total (Sum of 1-5 Above),0,21,51,0.411764706
Assam,2002,AT6-Total,6. Total (Sum of 1-5 Above),0,170,680,0.25
Bihar,2002,AT6-Total,6. Total (Sum of 1-5 Above),19,268,1148,0.233449477
Chandigarh,2002,AT6-Total,6. Total (Sum of 1-5 Above),0,230,617,0.372771475
Chhattisgarh,2002,AT6-Total,6. Total (Sum of 1-5 Above),0,321,1126,0.285079929
Dadra & Nagar Haveli,2002,AT6-Total,6. Total (Sum of 1-5 Above),0,20,37,0.540540541
Daman & Diu,2002,AT6-Total,6. Total (Sum of 1-5 Above),0,19,36,0.527777778
Delhi,2002,AT6-Total,6. Total (Sum of 1-5 Above),258,1706,7604,0.224355602
Goa,2002,AT6-Total,6. Total (Sum of 1-5 Above),1,41,151,0.271523179
Gujarat,2002,AT6-Total,6. Total (Sum of 1-5 Above),336,1628,6256,0.260230179
Haryana,2002,AT6-Total,6. Total (Sum of 1-5 Above),0,1503,3054,0.492141454
Himachal Pradesh,2002,AT6-Total,6. Total (Sum of 1-5 Above),12,93,152,0.611842105
Jammu & Kashmir,2002,AT6-Total,6. Total (Sum of 1-5 Above),9,229,664,0.344879518
Jharkhand,2002,AT6-Total,6. Total (Sum of 1-5 Above),4,114,718,0.158774373
Karnataka,2002,AT6-Total,6. Total (Sum of 1-5 Above),267,1312,4281,0.306470451
Kerala,2002,AT6-Total,6. Total (Sum of 1-5 Above),59,611,1978,0.308897877
Madhya Pradesh,2002,AT6-Total,6. Total (Sum of 1-5 Above),78,1523,4845,0.314344685
Maharashtra,2002,AT6-Total,6. Total (Sum of 1-5 Above),271,2860,9130,0.313253012
Manipur,2002,AT6-Total,6. Total (Sum of 1-5 Above),0,15,119,0.12605042
Meghalaya,2002,AT6-Total,6. Total (Sum of 1-5 Above),0,12,58,0.206896552
Mizoram,2002,AT6-Total,6. Total (Sum of 1-5 Above),0,30,31,0.967741935
